Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 27, 2021",35835.43,35835.43,35490.43,35490.69,35490.69,354180000
"Oct 26, 2021",35791.05,35892.92,35734.73,35756.88,35756.88,321910000
"Oct 25, 2021",35692.62,35787.04,35629.37,35741.15,35741.15,267220000
"Oct 22, 2021",35607.72,35765.02,35533.95,35677.02,35677.02,346290000
"Oct 21, 2021",35520.32,35612.36,35442.53,35603.08,35603.08,298390000
"Oct 20, 2021",35475.16,35669.69,35465.71,35609.34,35609.34,265750000
"Oct 19, 2021",35325.37,35462.68,35290.12,35457.31,35457.31,278510000
"Oct 18, 2021",35221.02,35327.57,35035.94,35258.61,35258.61,312640000
"Oct 15, 2021",35023.63,35320.97,35023.63,35294.76,35294.76,327870000
"Oct 14, 2021",34443.22,34923.83,34443.22,34912.56,34912.56,338540000
"Oct 13, 2021",34372.71,34449.83,34115.1,34377.81,34377.81,316220000
"Oct 12, 2021",34507.15,34611.24,34318.94,34378.34,34378.34,319010000
"Oct 11, 2021",34723.79,34951.35,34486.51,34496.06,34496.06,256820000
"Oct 08, 2021",34757.57,34842.62,34661.95,34746.25,34746.25,238080000
"Oct 07, 2021",34509.72,34975.19,34509.72,34754.94,34754.94,273290000
"Oct 06, 2021",34198.96,34432.68,33854.69,34416.99,34416.99,322170000
"Oct 05, 2021",34035.25,34490.95,34035.25,34314.67,34314.67,311520000
"Oct 04, 2021",34312.96,34410.28,33821.58,34002.92,34002.92,396860000
"Oct 01, 2021",33930.7,34490.56,33785.54,34326.46,34326.46,427580000
"Sep 30, 2021",34467.98,34557.37,33833.32,33843.92,33843.92,354830000
"Sep 29, 2021",34360.08,34580.42,34305.96,34390.72,34390.72,290350000
"Sep 28, 2021",34747.7,34798.21,34254.65,34299.99,34299.99,379020000
"Sep 27, 2021",34739.27,35061.12,34739.27,34869.37,34869.37,289480000
"Sep 24, 2021",34762.31,34857.06,34648.08,34798.0,34798.0,254310000
"Sep 23, 2021",34296.3,34879.78,34296.3,34764.82,34764.82,283890000
"Sep 22, 2021",34006.87,34440.42,34006.87,34258.32,34258.32,296590000
"Sep 21, 2021",34025.61,34313.88,33914.02,33919.84,33919.84,306970000
"Sep 20, 2021",34459.72,34459.72,33613.03,33970.47,33970.47,435780000
"Sep 17, 2021",34737.86,34779.86,34519.63,34584.88,34584.88,560630000
"Sep 16, 2021",34810.27,34943.55,34540.11,34751.32,34751.32,278270000
"Sep 15, 2021",34580.95,34880.77,34522.03,34814.39,34814.39,317490000
"Sep 14, 2021",34906.9,34990.36,34510.3,34577.57,34577.57,325140000
"Sep 13, 2021",34665.5,34939.1,34665.5,34869.63,34869.63,334190000
"Sep 10, 2021",34949.59,35104.25,34599.61,34607.72,34607.72,333230000
"Sep 09, 2021",35013.08,35199.89,34847.3,34879.38,34879.38,261330000
"Sep 08, 2021",35087.45,35175.15,34925.61,35031.07,35031.07,261880000
"Sep 07, 2021",35373.24,35373.24,35060.9,35100.0,35100.0,289830000
"Sep 03, 2021",35401.73,35422.71,35269.4,35369.09,35369.09,221370000
"Sep 02, 2021",35353.06,35475.4,35348.48,35443.82,35443.82,263370000
"Sep 01, 2021",35387.55,35407.37,35287.05,35312.53,35312.53,265520000
"Aug 31, 2021",35391.38,35449.79,35289.86,35360.73,35360.73,337240000
"Aug 30, 2021",35471.8,35510.71,35374.46,35399.84,35399.84,245390000
"Aug 27, 2021",35231.11,35479.18,35231.11,35455.8,35455.8,240990000
"Aug 26, 2021",35449.68,35498.45,35205.1,35213.12,35213.12,239740000
"Aug 25, 2021",35388.77,35501.14,35287.63,35405.5,35405.5,237230000
"Aug 24, 2021",35382.72,35445.47,35356.18,35366.26,35366.26,228710000
"Aug 23, 2021",35160.97,35428.91,35160.97,35335.71,35335.71,245760000
"Aug 20, 2021",34917.96,35177.26,34867.07,35120.08,35120.08,269320000
"Aug 19, 2021",34874.67,34997.81,34690.25,34894.12,34894.12,333550000
"Aug 18, 2021",35310.2,35356.8,34943.41,34960.69,34960.69,289800000
"Aug 17, 2021",35500.01,35500.01,35120.31,35343.28,35343.28,309410000
"Aug 16, 2021",35490.83,35631.19,35231.87,35625.4,35625.4,292590000
"Aug 13, 2021",35551.56,35610.57,35474.78,35515.38,35515.38,236790000
"Aug 12, 2021",35481.94,35510.77,35352.53,35499.85,35499.85,231600000
"Aug 11, 2021",35300.89,35501.16,35300.89,35484.97,35484.97,232800000
"Aug 10, 2021",35135.17,35285.16,35091.91,35264.67,35264.67,255040000
"Aug 09, 2021",35229.67,35229.67,35041.24,35101.85,35101.85,207850000
"Aug 06, 2021",35077.44,35246.79,35077.44,35208.51,35208.51,231570000
"Aug 05, 2021",34815.61,35067.54,34815.61,35064.25,35064.25,216580000
"Aug 04, 2021",35047.44,35047.44,34790.62,34792.67,34792.67,245300000
"Aug 03, 2021",34864.1,35120.94,34714.33,35116.4,35116.4,259820000
"Aug 02, 2021",34968.56,35192.11,34808.2,34838.16,34838.16,238620000
